premise	hypothesis	us_ratings	in_ratings
They consolidated programs to increase efficiency and deploy resources more effectively	Programs to decrease efficiency were consolidated.	['C', 'C', 'C', 'C', 'C']	['E', 'C', 'C', 'C', 'C']
They consolidated programs to increase efficiency and deploy resources more effectively	Programs to increase efficiency were consolidated, because they care deeply about efficiency.	['N', 'E', 'N', 'E', 'N']	['E', 'N', 'E', 'E', 'E']
The sacred is not mysterious to her.	The woman does not know anything sacred.	['C', 'C', 'C', 'N', 'N', 'C']	['C', 'C', 'C', 'N', 'C']
The sacred is not mysterious to her.	The woman is familiar with the sacred.	['E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'N', 'E']
The sacred is not mysterious to her.	The woman is very religious.	['N', 'N', 'N', 'C', 'C', 'N']	['N', 'N', 'N', 'C', 'C']
It profiles a new kind of office superstore-cum-hotel that sells generic office space to lonely telecommuters.	There's no space available to lonely telecommuters.	['C', 'C', 'C', 'C', 'C']	['C', 'N', 'C', 'C', 'N']
It profiles a new kind of office superstore-cum-hotel that sells generic office space to lonely telecommuters.	The telecommuters are grateful for the opportunity to buy the office space.	['N', 'N', 'N', 'E', 'N']	['N', 'N', 'N', 'N', 'C']
It profiles a new kind of office superstore-cum-hotel that sells generic office space to lonely telecommuters.	Telecommuters buy generic office space.	['E', 'E', 'E', 'N', 'E']	['E', 'N', 'N', 'N', 'E']
The Kal tangled both of Adrin's arms, keeping the blades far away.	Adrin's arms were tangled, keeping his rusty blades away from Kal.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
The Kal tangled both of Adrin's arms, keeping the blades far away.	Adrin's arms were tangled, keeping his blades away from Kal.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'N', 'E', 'E']
The Kal tangled both of Adrin's arms, keeping the blades far away.	Adrin's arms were tangled, keeping his axes away from Kal.	['C', 'N', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'C']
But those that are manufactured for sale in in Europe and so forth are quite the other way around	Products are made with differently designed machines in Europe.	['N', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
But those that are manufactured for sale in in Europe and so forth are quite the other way around	The ones made in Europe are exactly the same as the ones here.	['C', 'C', 'N', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
But those that are manufactured for sale in in Europe and so forth are quite the other way around	The ones that are made to sell in Europe are different.	['N', 'E', 'N', 'E', 'N']	['E', 'N', 'N', 'E', 'E']
He pulled his cloak tighter and wished for a moment that he had not shaved his head.	The man wrapped himself tightly in his cloak and was distressed about not having hair.	['N', 'E', 'C', 'N', 'E']	['E', 'N', 'N', 'C', 'E']
He pulled his cloak tighter and wished for a moment that he had not shaved his head.	The man wrapped himself in hos cloak because of the blustering winds and bitter cold outside that evening.	['E', 'E', 'N', 'N', 'N']	['E', 'N', 'C', 'C', 'C']
He pulled his cloak tighter and wished for a moment that he had not shaved his head.	The man pulled his super hero cape around himself to show off.	['N', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Scotland became little more than an English county.	Scotland was hardly better than an English county.	['N', 'E', 'N', 'E', 'N']	['C', 'N', 'C', 'C', 'C']
Scotland became little more than an English county.	Scotland was far greater than an English county.	['N', 'C', 'C', 'C', 'N']	['C', 'C', 'N', 'E', 'N']
Scotland became little more than an English county.	Scotland was hardly better than an English county as England no longer allowed them an army.	['N', 'C', 'E', 'C', 'N']	['C', 'E', 'C', 'C', 'C']
He works himself into a fake froth; does some calculated, halfhearted gonzo writing; then collects a fat check.	He collects a big check for pretending to be outraged.	['E', 'E', 'E', 'E', 'C']	['N', 'C', 'E', 'C', 'E']
He works himself into a fake froth; does some calculated, halfhearted gonzo writing; then collects a fat check.	He's well-known in writing circles as a hack who is willing to sell out to the highest bidder.	['N', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
He works himself into a fake froth; does some calculated, halfhearted gonzo writing; then collects a fat check.	He doesn't collect a big check in exchange for working himself into a fake froth.	['C', 'C', 'C', 'N', 'E']	['C', 'E', 'C', 'C', 'C']
I thought working on Liddy's campaign would be better than working on Bob's.	Turns out, I was wrong and wished I had worked on Bob's campaign.	['N', 'N', 'C', 'N']	['N', 'N', 'N', 'C', 'C']
I thought working on Liddy's campaign would be better than working on Bob's.	I thought I would like working on Liddy's campaign the best.	['N', 'E', 'E', 'N']	['E', 'E', 'E', 'E', 'E']
I thought working on Liddy's campaign would be better than working on Bob's.	Liddy did not have a campaign.	['C', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'C']
I feel that you probably underestimate the danger, and therefore warn you again that I can promise you no protection.	I feel that you do not underestimate the danger, and therefore I do not need to warn you.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'E']
I feel that you probably underestimate the danger, and therefore warn you again that I can promise you no protection.	I warn you again, that I can promise you no protection, as I feel that you probably underestimate the danger.	['E', 'E', 'E', 'N']	['E', 'E', 'E', 'E', 'C']
I feel that you probably underestimate the danger, and therefore warn you again that I can promise you no protection.	You underestimate the probability of us getting caught.	['N', 'N', 'N', 'E']	['N', 'N', 'C', 'N', 'C']
Companies that were foreign had to accept Indian financial participation and management.	Foreign companies had to take Italian money.	['N', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Companies that were foreign had to accept Indian financial participation and management.	Foreign companies had to take Indian money.	['E', 'E', 'E', 'N', 'N']	['N', 'N', 'E', 'N', 'N']
Companies that were foreign had to accept Indian financial participation and management.	Foreign companies had to take Indian money in order to operate their businesses.	['E', 'E', 'E', 'E', 'N']	['E', 'N', 'E', 'N', 'E']
Not entirely,' I snapped, harsher than intended.	Yes, entirely I shouted just as harsh as I intended to.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Not entirely,' I snapped, harsher than intended.	Not entirely, I snapped back at my boss.	['N', 'N', 'N', 'N', 'N']	['N', 'E', 'N', 'N', 'C']
Not entirely,' I snapped, harsher than intended.	I spoke more harshly than I wanted to.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers.	Male children don't get any special kind of treatment.	['C', 'N', 'C', 'C', 'C']	['C', 'C', 'C', 'N', 'C']
Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers.	Male children are considered to bring luck to the family.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers.	Male children are considered a blessing for family.	['E', 'N', 'E', 'E', 'E']	['N', 'E', 'N', 'E', 'E']
It's easy to overdose on the many temples, palaces, and museums in India.	There is a wide selection of temples and palaces in India.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
It's easy to overdose on the many temples, palaces, and museums in India.	Many temples and palaces are free to visit in the country.	['N', 'N', 'C', 'N']	['E', 'N', 'E', 'E', 'N']
It's easy to overdose on the many temples, palaces, and museums in India.	You'll find a scarcity of palaces and temples across India.	['C', 'C', 'C', 'C']	['E', 'C', 'N', 'E', 'C']
A student visa overstayer is not going to be a high priority for pro bono assistance.	A student visa overstayer will be high priority.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
A student visa overstayer is not going to be a high priority for pro bono assistance.	Overstaying a student visa will make pro bono assistance difficult.	['E', 'E', 'E', 'E', 'E']	['N', 'E', 'N', 'E', 'C']
A student visa overstayer is not going to be a high priority for pro bono assistance.	A student visa overstayer will not obtain pro bono assistance.	['N', 'N', 'N', 'E', 'N']	['N', 'N', 'E', 'N', 'N']
Additional information is provided to help managers incorporate the standards into their daily operations.	Managers should develop their own standards for operations without any assistance.	['C', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'C', 'C']
Additional information is provided to help managers incorporate the standards into their daily operations.	This information was developed thanks to extra federal funding.	['C', 'N', 'N', 'C', 'N']	['C', 'N', 'C', 'C', 'C']
Additional information is provided to help managers incorporate the standards into their daily operations.	Managers can better apply the standards to their operations by reading the additional information.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
His grandson Akbar chose Agra for his capital over Delhi.	The choice of Agra over Delhi came down to one having better food than the other does.	['C', 'N', 'C', 'N', 'N']	['N', 'N', 'C', 'C', 'C']
His grandson Akbar chose Agra for his capital over Delhi.	His grandson chose Agra for the capital, not Delhi.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
His grandson Akbar chose Agra for his capital over Delhi.	His grandson chose Washington DC as the capital, not New York City.	['C', 'C', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
That's what guarantees that people will keep buying tickets as long as the odds are in their favor.	People will purchase the most tickets when they have a fifty percent or higher chance to win.	['N', 'N', 'N', 'E', 'E']	['E', 'E', 'N', 'N', 'N']
That's what guarantees that people will keep buying tickets as long as the odds are in their favor.	People will continue to buy tickets if the odds are not in their favor.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'E', 'C']
That's what guarantees that people will keep buying tickets as long as the odds are in their favor.	People will continually purchase tickets, as long as they have a good chance of winning.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
He touched it and felt his skin swelling and growing hot.	He touched a hot rod.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'E', 'C', 'E']
He touched it and felt his skin swelling and growing hot.	His skin was cold and clammy.	['C', 'C', 'C', 'C', 'C']	['C', 'N', 'C', 'C', 'C']
He touched it and felt his skin swelling and growing hot.	His skin was burning.	['E', 'E', 'E', 'E', 'N']	['E', 'E', 'E', 'C', 'E']
She had spoken with no trace of foreign accent.	She carried her tone with a local accent.	['N', 'N', 'N', 'E', 'C']	['E', 'E', 'N', 'E', 'E']
She had spoken with no trace of foreign accent.	She was a foreign secret agent.	['N', 'N', 'C', 'C', 'N']	['N', 'N', 'C', 'C', 'C']
She had spoken with no trace of foreign accent.	The woman had never spoken before.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
But we don't rule out regulation in the future if industry fails to do a good job of policing itself.	Regulation is a possibility because lawmakers are changing their opinions.	['N', 'N', 'N', 'N', 'C']	['N', 'N', 'N', 'N', 'E']
But we don't rule out regulation in the future if industry fails to do a good job of policing itself.	Regulation will not happen in the future.	['N', 'N', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
But we don't rule out regulation in the future if industry fails to do a good job of policing itself.	Regulation is a possibility for the future.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'N', 'E', 'C']
That's it. The girl looked at him, then passed her hand across her forehead.	The girl touched her forehead.	['E', 'N', 'E', 'E', 'E']	['E', 'E', 'N', 'E', 'E']
That's it. The girl looked at him, then passed her hand across her forehead.	The girl turned away from him and kept her hands still.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
That's it. The girl looked at him, then passed her hand across her forehead.	The girl looked at him with great interest.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'C']
Without the discount, nobody would buy the stock.	Nobody would buy the stock if there wasn't a discount, except Maria.	['C', 'N', 'C', 'C', 'N']	['N', 'N', 'N', 'N', 'C']
Without the discount, nobody would buy the stock.	Nobody would buy the stock if there wasn't a discount.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Without the discount, nobody would buy the stock.	Nobody would buy the stock if there was a discount.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
There are no gods here now, said the voice of the monster in front of them.	A monster spoke to them.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
There are no gods here now, said the voice of the monster in front of them.	The monster stood behind them in silence and spoke not a word.	['C', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'C']
There are no gods here now, said the voice of the monster in front of them.	The monster's voice was loud and scary.	['N', 'N', 'N', 'N', 'E']	['N', 'N', 'N', 'N', 'C']
He jumped up, planting one hand on the charging horse, and came at the brute with the axe.	He went after the brute with an axe.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
He jumped up, planting one hand on the charging horse, and came at the brute with the axe.	He swung his axe at the brute to knock him off balance.	['N', 'N', 'E', 'N']	['N', 'N', 'N', 'N', 'C']
He jumped up, planting one hand on the charging horse, and came at the brute with the axe.	He swung at the brute with his sword.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
He sat for a moment in silence.	Standing, he let out a harsh yell.	['E', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
He sat for a moment in silence.	Seated, he let silence surround him.	['N', 'E', 'N', 'E', 'E']	['E', 'N', 'E', 'E', 'C']
He sat for a moment in silence.	Seated, he enjoyed the silence.	['N', 'E', 'E', 'N', 'N']	['E', 'E', 'N', 'N', 'E']
His politeness sounded strange coming from a desert nomad.	Being a desert nomad, his politeness seemed strange.	['E', 'E', 'E', 'N', 'E']	['E', 'E', 'E', 'E', 'E']
His politeness sounded strange coming from a desert nomad.	The desert nomad was as nasty as always.	['C', 'N', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
His politeness sounded strange coming from a desert nomad.	Being such a young desert nomad, his politeness sounded strange.	['N', 'N', 'N', 'E', 'N']	['N', 'E', 'N', 'N', 'E']
Today it is lined with shipyards, factories, and industrial development, and its waters are badly polluted.	Its waters are pure and safe to drink	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Today it is lined with shipyards, factories, and industrial development, and its waters are badly polluted.	Its waters are polluted badly	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Today it is lined with shipyards, factories, and industrial development, and its waters are badly polluted.	It is the largest center of industry in the city	['N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'C']
These men had never seen rain before, Jon realized.	The men lived in the rainforest.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
These men had never seen rain before, Jon realized.	The rain was a novelty to the men.	['E', 'E', 'E', 'E', 'E']	['E', 'N', 'N', 'E', 'E']
These men had never seen rain before, Jon realized.	The men had lived in the desert.	['N', 'E', 'N', 'N', 'N']	['N', 'E', 'C', 'E', 'E']
Inflation is supposed to be a deadly poison, not a useful medicine.	Inflation is supposed to be poison, but economists are considering whether it might actually be useful.	['E', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'C']
Inflation is supposed to be a deadly poison, not a useful medicine.	Inflation is a boon to society and a good way to fix problems.	['C', 'N', 'C', 'C', 'C']	['C', 'C', 'N', 'C', 'C']
Inflation is supposed to be a deadly poison, not a useful medicine.	Inflation is meant to be something that harms, not something that heals.	['E', 'C', 'E', 'E', 'E']	['E', 'E', 'N', 'E', 'E']
